nilai_sisdig,nilai_daspro,nilai_alpro,nilai_matdis,nilai_arkom,nilai_basdat,nilai_metnum,nilai_strukdat,nilai_sbd,nilai_so,nilai_jarkom,nilai_ki,nilai_rpl,nilai_si,nilai_pb,status_kelulusan
"C+","E","B-","A-","B-","C","B+","C","B-","C","C+","B-","B-","B+","A-","SEDANG"
"C+","C+","C+","B-","C","C+","C+","C","C+","E","C","B-","C","B+","A-","TERLAMBAT"
"B+","B","B+","A-","D","C+","C","C","C+","D","C+","B-","C+","D","A-","TERLAMBAT"
"E","B-","B","B+","D","C+","B","B-","C+","D","C","C","B-","B","A","TERLAMBAT"
"E","B-","B","B-","C","B-","B","B-","B-","B","B-","B-","B-","A-","A-","SEDANG"
"B+","B+","B","B+","D","C+","C","C+","B+","D","C+","B-","B+","B-","A-","TERLAMBAT"
"A","D","B+","B+","A","C+","A","A-","B-","A","B+","B","A","A","A-","SEDANG"
"A","C+","B+","B","D","C+","C","E","B-","C","B-","B+","C+","D","A","TERLAMBAT"
"C+","D","B+","B","A-","B-","B","B-","B-","B-","B","B","B-","A-","A-","TERLAMBAT"
"B-","B-","B","B-","C+","C+","B+","B","B-","B-","D","C+","B","B","A-","TERLAMBAT"
"C","C+","B+","B-","E","B-","B","A-","C+","C+","C","A-","C","D","A","TERLAMBAT"
"C","B","A-","C","E","C","C+","A-","B-","A-","E","B","B","A-","A-","TERLAMBAT"
"E","C","B+","A-","A-","B-","A-","B","B-","B","E","B-","A","A","E","SEDANG"
"B-","E","C","B","C+","C+","C","A","B","B","C","B","A","D","A-","TERLAMBAT"
"B","C","B+","B-","A-","B-","B","B-","B-","C+","B-","B","B","C+","A","TERLAMBAT"
"C","C","B+","B-","B+","B-","C","B","B+","B","B+","B","B","B+","A-","TERLAMBAT"
"B-","B","C+","D","C","C","C","C+","B+","B-","C+","B","C","D","A-","TERLAMBAT"
"A-","B-","B","B-","B","A-","B+","B+","B+","A-","A","D","A","A-","A-","TERLAMBAT"
"B","A","B+","B-","B+","A-","B-","B","A","B-","A-","B+","A","A-","B+","TERLAMBAT"
"B-","D","C+","B","C+","B","A-","B","B+","B+","B+","B+","A-","C+","B","TERLAMBAT"
"A","A","B","B","B-","B-","B","B","B-","B+","B+","A-","B+","B+","A","TERLAMBAT"
"B+","C+","C","B-","C+","B","B","B","B+","B-","D","C+","B-","C+","A-","TERLAMBAT"
"E","C","D","B","C+","C","C","B-","B","C+","D","B+","D","B","A","TERLAMBAT"
"E","D","B","B-","C+","C+","E","B-","B+","B+","C","B-","C","B-","A-","TERLAMBAT"
"E","C","C","C+","C+","C+","B-","C+","B+","A-","C+","A-","B-","C","A-","TERLAMBAT"
